Station ID,Station Name,Description,County,Route,From Milepoint,To Milepoint,Functional Class,Latitude,Longitude,Year,Stat Type,AADT,AAWDT,Single-Unit Truck AADT,Combo-Unit Truck AADT,K-Factor,D-Factor,Station Type
#352005000000,352005,CR117 E RIVER ST from WASHINGTON ST to WATERLOO TN LN,Seneca,E RIVER ST,0,0.94,Urban:Minor Arterial,42.89939,-76.85238,2024,Actual,3577,,107,2,0.11,0.51,Short Term
#352006000000,352006,EAST BAYARD ST from OVID ST to BEG CR116,Seneca,EAST BAYARD ST,0,1.01,Urban:Major Collector,42.91109,-76.78366,2024,Actual,5611,,212,3,0.1,0.5,Short Term
#352008000000,352008,WRIGHT AVE from STARK ST to SWIFT ST,Seneca,WRIGHT AVE,0.34,1.16,Urban:Major Collector,42.90903,-76.86903,2024,Estimated,547,,,,0.12,0.51,Short Term
#352010000000,352010,GARDEN ST from OVID ST to DEAD END,Seneca,GARDEN ST,0,0.84,Urban:Major Collector,42.90472,-76.78564,2024,Actual,661,,,,0.11,0.52,Short Term
#352011000000,352011,BALSLEY RD from NY 414 to US 20,Seneca,BALSLEY RD,0,0.56,Urban:Minor Arterial,42.90634,-76.83086,2024,Estimated,5479,,,,0.1,0.54,Short Term
#352012000000,352012,CHAPEL ST from GOULDSPUMP LIN to STATE ST,Seneca,CHAPEL ST,0,0.53,Urban:Major Collector,42.91412,-76.80174,2024,Estimated,896,,,,0.1,0.56,Short Term
#352013000000,352013,CR117 W RIVER ST from W VILLAGE LINE to FAYETTE ST,Seneca,W RIVER ST,0,0.24,Urban:Major Collector,42.8986,-76.86737,2024,Actual,2275,,120,2,0.11,0.51,Short Term
#352200000000,352200,BETZLER RD from KEADY RD to CR146,Seneca,BETZLER RD,0,0.98,Rural:Local,42.600756,-76.787084,2024,,,,,,,,Short Term
#352201000000,352201,CR102 BLACK BROOK RD from BEG COUNTY RD to TYRE TL,Seneca,BLACK BROOK RD,0,1.63,Rural:Local,42.941318,-76.816783,2024,Estimated,718,,,,0.09,0.53,Short Term
#352202000000,352202,ZWICK RD from YOST RD to NY 414,Seneca,ZWICK RD,0.47,2.41,Rural:Local,42.831242,-76.830145,2024,,,,,,,,Short Term
#352203000000,352203,AMES RD from WILKINS RD to PARMENTER RD,Seneca,AMES RD,0,0.98,Rural:Local,42.560417,-76.800497,2024,,,,,,,,Short Term
#352204000000,352204,CLINTON ST from CHAPEL ST to BLACK BROOK RD,Seneca,CLINTON ST,0.25,1.14,Urban:Local,42.919388,-76.804606,2024,Estimated,383,,,,0.13,0.77,Short Term
#353000000000,353000,US 20 AT NY5 AN from NY5 NB (OFF) to NY96A EB (ON),Seneca,US 20 AT NY5 AN,0,0.25,Rural:Principal Arterial - Other,42.87604,-76.94256,2024,Estimated,2578,,,,0.1,1,Short Term
#353001000000,353001,US 20 AT NY5 AN from NY96A WB (OFF) to NY5 NB (ON),Seneca,US 20 AT NY5 AN,0,0.25,Urban:Principal Arterial - Other,42.87663,-76.94287,2024,Estimated,1060,,,,0.09,1,Short Term
#353801000000,353801,EXIT 41 I9O AT from I-90 EB (OFF) to NY414,Seneca,EXIT 41 I9O AT,0,0.62,Rural:Principal Arterial - Interstate,42.96599,-76.8524,2024,Estimated,3198,,,,0.08,1,Short Term
#353802000000,353802,EXIT 41 I9O AT from NY414 (OFF) to I-90 EB (ON),Seneca,EXIT 41 I9O AT,0,0.67,Rural:Principal Arterial - Interstate,42.96584,-76.85131,2024,Estimated,3639,,,,0.08,1,Short Term
#353803000000,353803,EXIT 41 I9O AT from I-90 WB 9OFF) to NY414 (ON),Seneca,EXIT 41 I9O AT,0,0.95,Rural:Principal Arterial - Interstate,42.966,-76.85186,2024,Estimated,3111,,,,0.07,1,Short Term
#353804000000,353804,EXIT 41 I9O AT from NY414 to I-90 WB (ON),Seneca,EXIT 41 I9O AT,0,1.04,Rural:Principal Arterial - Interstate,42.96602,-76.85204,2024,Estimated,2682,,,,0.08,1,Short Term
#355000000000,355000,CR141 CAYUGA ST from NY 96 to COVERT TL,Seneca,CAYUGA ST,0,0.39,Rural:Local,42.61981,-76.7116,2024,Estimated,776,,,,0.08,0.55,Short Term
#355001000000,355001,CR139 WEST SENECA ST from VILLAGE LINE to NY 414,Seneca,WEST SENECA ST,0.68,0.92,Rural:Local,42.67641,-76.82501,2024,Estimated,1024,,69,2,0.12,0.54,Short Term
#355002000000,355002,CR101 GRAVEL RD from URBAN BOUNDARY to RT 318 TYRE TL,Seneca,GRAVEL RD,0.18,1.62,Rural:Minor Collector,42.97272,-76.79594,2024,Actual,375,,65,5,0.15,0.68,Short Term
#355003000000,355003,CLARK ST from CHAPMAN ST to WATER ST,Seneca,CLARK ST,0,0.09,Rural:Local,42.67474,-76.82555,2024,Estimated,60,,,,0.1,0.71,Short Term
#355004000000,355004,ANN ST from CHAPMAN ST to WATER ST,Seneca,ANN ST,0.28,0.37,Rural:Local,42.6745,-76.82737,2024,Estimated,268,,,,0.1,0.6,Short Term
#355005000000,355005,MECHANIC ST from SENECA ST to MAIN ST,Seneca,MECHANIC ST,0.16,0.22,Rural:Local,42.61879,-76.72759,2024,Estimated,105,,,,0.1,0.67,Short Term
#355006000000,355006,MILLS RD from NY 96 to JUNIUS TL,Seneca,MILLS RD,0,1.64,Rural:Local,42.93847,-76.88706,2024,Estimated,398,,,,0.09,0.53,Short Term
#355007000000,355007,BLUE SKY RD from NY 96 to DUNHAM RD,Seneca,BLUE SKY RD,0,0.48,Rural:Local,42.93842,-76.95113,2024,Estimated,71,,,,0.1,0.75,Short Term
#355008000000,355008,LAY RD from RT89 to E TYRE RD,Seneca,LAY RD,0,0.45,Rural:Local,42.96952,-76.77561,2024,Estimated,111,,,,0.11,0.53,Short Term
#355009000000,355009,SENECA TRAIL from DEAD END to MOHAWK LA,Seneca,SENECA TRAIL,0,0.18,Urban:Local,42.88037,-76.84927,2024,Estimated,166,,,,0.12,0.59,Short Term
#355010000000,355010,LERCH ROAD from CR 125 to NY 96A,Seneca,LERCH ROAD,0,1.56,Rural:Local,42.82073,-76.9167,2024,Estimated,164,,,,0.12,0.52,Short Term
#355011000000,355011,CHEROKEE LANE from SENECA TRAIL to DEAD END,Seneca,CHEROKEE LANE,0,0.11,Urban:Local,42.88058,-76.85068,2024,Actual,73,,,,0.21,0.67,Short Term
#355012000000,355012,CR109 DUBLIN RD from CO LINE RD to CR107,Seneca,DUBLIN RD,0,2.98,Rural:Local,42.99533,-76.93494,2024,Estimated,315,,,,0.08,0.57,Short Term
